Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666659910.5315568,677,3910,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659911.5326047,678,3911,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659912.5322618,679,3912,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659913.5337164,680,3913,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659914.532739,681,3914,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659915.5330276,682,3915,0,GPS1_Frame,42.33709666666667,-71.08947333333333,14.5,327867.4875348137,4689319.152570043,19.0,T
1666659916.5278034,683,3916,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659917.5317612,684,3917,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659918.5319407,685,3918,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659919.5325265,686,3919,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659920.5318964,687,3920,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659921.5315342,688,3921,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659922.5323992,689,3922,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659923.5315418,690,3923,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659924.5326734,691,3924,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659925.5324535,692,3925,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659926.526649,693,3926,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659927.532851,694,3927,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659928.5312407,695,3928,0,GPS1_Frame,42.33709666666667,-71.089475,14.5,327867.3502277077,4689319.15594395,19.0,T
1666659929.5311553,696,3929,0,GPS1_Frame,42.33709666666667,-71.089475,14.4,327867.3502277077,4689319.15594395,19.0,T
1666659930.5309496,697,3930,0,GPS1_Frame,42.33709666666667,-71.089475,14.4,327867.3502277077,4689319.15594395,19.0,T
1666659931.5329318,698,3931,0,GPS1_Frame,42.33709666666667,-71.089475,14.4,327867.3502277077,4689319.15594395,19.0,T
1666659932.5327744,699,3932,0,GPS1_Frame,42.33709666666667,-71.089475,14.4,327867.3502277077,4689319.15594395,19.0,T
1666659933.5312207,700,3933,0,GPS1_Frame,42.33709666666667,-71.089475,14.4,327867.3502277077,4689319.15594395,19.0,T
1666659934.5268002,701,3934,0,GPS1_Frame,42.33709666666667,-71.089475,14.4,327867.3502277077,4689319.15594395,19.0,T
1666659935.5318127,702,3935,0,GPS1_Frame,42.33710166666667,-71.08947833333333,14.2,327867.0892561815,4689319.7179036755,19.0,T
1666659936.5322158,703,3936,0,GPS1_Frame,42.33710833333333,-71.08948166666667,13.9,327866.83283226436,4689320.464934047,19.0,T
1666659937.532963,704,3937,0,GPS1_Frame,42.33712166666667,-71.08948833333334,13.7,327866.31998461555,4689321.958994825,19.0,T
1666659938.5271754,705,3938,0,GPS1_Frame,42.33714166666667,-71.0895,13.3,327865.41340659116,4689324.203460028,19.0,T
1666659939.5271733,706,3939,0,GPS1_Frame,42.33717,-71.08951833333333,12.9,327863.9803396102,4689327.386774451,19.0,T
1666659940.5277052,707,3940,0,GPS1_Frame,42.337203333333335,-71.08954333333334,12.5,327862.01168962306,4689331.138797193,19.0,T
1666659941.531928,708,3941,0,GPS1_Frame,42.33724,-71.08956833333333,12.2,327860.0521374118,4689335.260961848,19.0,T
1666659942.532036,709,3942,0,GPS1_Frame,42.33728333333333,-71.08959333333334,12.2,327858.1107789683,4689340.123409708,19.0,T
1666659943.5374331,710,3943,0,GPS1_Frame,42.33732833333333,-71.08961833333333,12.2,327856.1739713405,4689345.170928864,19.0,T
1666659944.527571,711,3944,0,GPS1_Frame,42.33736666666667,-71.08963833333334,12.1,327854.6308945357,4689349.46804356,19.0,T
1666659945.527246,712,3945,0,GPS1_Frame,42.33739833333333,-71.08965333333333,12.1,327853.48154724226,4689353.014753489,19.0,T
1666659946.5276663,713,3946,0,GPS1_Frame,42.337421666666664,-71.089665,12.1,327852.5840740215,4689355.629361986,19.0,T
1666659947.5248752,714,3947,0,GPS1_Frame,42.33744166666666,-71.089675,12.1,327851.81481184874,4689357.8704551,19.0,T
1666659948.5258803,715,3948,0,GPS1_Frame,42.337466666666664,-71.08968666666667,12.0,327850.9218880504,4689360.670134515,19.0,T
1666659949.5248723,716,3949,0,GPS1_Frame,42.33749666666667,-71.08970166666667,12.0,327849.7679967955,4689364.03177457,19.0,T
1666659950.5278378,717,3950,0,GPS1_Frame,42.337535,-71.08972,12.0,327848.3622350519,4689368.325516726,19.0,T
1666659951.5331936,718,3951,0,GPS1_Frame,42.33757833333333,-71.08974166666667,12.1,327846.69550761237,4689373.181219878,19.0,T
1666659952.5304844,719,3952,0,GPS1_Frame,42.33762333333333,-71.08976333333334,12.2,327845.03333094943,4689378.221994181,19.0,T
1666659953.5294542,720,3953,0,GPS1_Frame,42.33767,-71.08978333333333,12.2,327843.5130110801,4689383.444465226,19.0,T
1666659954.5296125,721,3954,0,GPS1_Frame,42.33772166666667,-71.08980333333334,12.0,327842.00633872836,4689389.222148672,19.0,T
1666659955.5301673,722,3955,0,GPS1_Frame,42.33778,-71.089825,12.1,327840.3805570875,4689395.743489676,19.0,T
1666659956.5292149,723,3956,0,GPS1_Frame,42.33784,-71.08984833333334,12.5,327838.62202186626,4689402.453276388,19.0,T
1666659957.529354,724,3957,0,GPS1_Frame,42.337896666666666,-71.089865,13.0,327837.40361497796,4689408.779424174,19.0,T
1666659958.5293598,725,3958,0,GPS1_Frame,42.33795,-71.08987666666667,13.3,327836.5880294448,4689414.725307255,19.0,T
1666659959.5298066,726,3959,0,GPS1_Frame,42.33800166666666,-71.08988,13.2,327836.4544228387,4689420.469246961,19.0,T
1666659960.5204353,727,3960,0,GPS1_Frame,42.33805,-71.08988333333333,13.2,327836.31171976833,4689425.843045398,19.0,T
1666659961.5205753,728,3961,0,GPS1_Frame,42.338095,-71.08988166666667,13.4,327836.5718349656,4689430.836578809,19.0,T
1666659962.5205104,729,3962,0,GPS1_Frame,42.338145,-71.089895,14.6,327835.609852241,4689436.415695539,19.0,T
1666659963.5210443,730,3963,0,GPS1_Frame,42.33819333333334,-71.08990166666666,15.9,327835.19254166936,4689441.796243361,19.0,T
1666659964.5201058,731,3964,0,GPS1_Frame,42.33824166666667,-71.08991166666667,17.2,327834.50062283716,4689447.183540519,19.0,T
1666659965.5194905,732,3965,0,GPS1_Frame,42.3383,-71.08993833333334,19.1,327832.4629523072,4689453.715008426,19.0,T
1666659966.5210052,733,3966,0,GPS1_Frame,42.33836,-71.08996833333333,19.4,327830.1552260443,4689460.438297211,19.0,T
1666659967.5193129,734,3967,0,GPS1_Frame,42.33842333333333,-71.09000333333333,20.4,327827.4446896318,4689467.541852627,19.0,T
1666659968.5163248,735,3968,0,GPS1_Frame,42.338483333333336,-71.090025,20.8,327825.82349412295,4689474.248269385,19.0,T
1666659969.5202994,736,3969,0,GPS1_Frame,42.33853833333333,-71.09004833333333,21.4,327824.0513514546,4689480.402849477,19.0,T
1666659970.5201895,737,3970,0,GPS1_Frame,42.33859833333333,-71.09008,21.6,327821.60634006164,4689487.129516697,19.0,T
1666659971.5209084,738,3971,0,GPS1_Frame,42.33866,-71.09011666666666,21.9,327818.7539717866,4689494.0513805365,19.0,T
1666659972.5207129,739,3972,0,GPS1_Frame,42.338721666666665,-71.09015166666667,22.1,327816.0389131858,4689500.969870754,19.0,T
1666659973.5197942,740,3973,0,GPS1_Frame,42.338786666666664,-71.09018666666667,22.1,327813.3329589281,4689508.25850363,19.0,T
1666659974.520296,741,3974,0,GPS1_Frame,42.33885333333333,-71.09021833333334,22.1,327810.9061667343,4689515.725458223,19.0,T
1666659975.5200427,742,3975,0,GPS1_Frame,42.338923333333334,-71.090245,21.7,327808.90038848843,4689523.552429751,19.0,T
1666659976.520743,743,3976,0,GPS1_Frame,42.338991666666665,-71.09027333333333,21.6,327806.7527629385,4689531.197706596,19.0,T
1666659977.5195603,744,3977,0,GPS1_Frame,42.339058333333334,-71.09030166666666,20.9,327804.6005931662,4689538.657913626,19.0,T
1666659978.5242548,745,3978,0,GPS1_Frame,42.33912333333333,-71.09033333333333,20.6,327802.16927357554,4689545.939801465,19.0,T
1666659979.5289276,746,3979,0,GPS1_Frame,42.339185,-71.09036333333333,20.0,327799.8661627964,4689552.8481736,19.0,T
1666659980.528407,747,3980,0,GPS1_Frame,42.33924666666667,-71.09039166666666,19.4,327797.7003594772,4689559.753171281,19.0,T
1666659981.5243154,748,3981,0,GPS1_Frame,42.339305,-71.09041833333333,18.8,327795.66276361304,4689566.284652958,19.0,T
1666659982.5238981,749,3982,0,GPS1_Frame,42.33935833333334,-71.09044333333334,18.3,327793.7488245786,4689572.257547774,19.0,T
1666659983.5229807,750,3983,0,GPS1_Frame,42.3394,-71.09046333333333,17.8,327792.2149460247,4689576.924821683,19.0,T
1666659984.5243542,751,3984,0,GPS1_Frame,42.33942833333333,-71.090475,17.3,327791.3311802604,4689580.094652549,19.0,T
1666659985.5247924,752,3985,0,GPS1_Frame,42.339441666666666,-71.09048166666666,16.8,327790.81837174017,4689581.588720462,19.0,T
